Country,City,Population
India,Mumbai,"12,691,836"
India,Delhi,"10,927,986"
India,Bengaluru,"5,104,047"
India,Kolkata,"4,631,392"
India,Chennai,"4,328,063"
India,Ahmedabad,"3,719,710"
India,Hyderabad,"3,597,816"
India,Pune,"2,935,744"
India,Surat,"2,894,504"
India,Kanpur,"2,823,249"
India,Jaipur,"2,711,758"
India,Navi Mumbai,"2,600,000"
India,Lucknow,"2,472,011"
India,Nagpur,"2,228,018"
India,Indore,"1,837,041"
India,Patna,"1,599,920"
India,Bhopal,"1,599,914"
India,Ludhiana,"1,545,368"
India,Tirunelveli,"1,435,844"
India,Agra,"1,430,055"
India,Vadodara,"1,409,476"
India,Gorakhpur,"1,324,570"
India,Nashik,"1,289,497"
India,Pimpri,"1,284,606"
India,Kalyan,"1,262,255"
India,Thane,"1,261,517"
India,Meerut,"1,223,184"
India,Nowrangapur,"1,220,946"
India,Faridabad,"1,220,229"
India,Ghaziabad,"1,199,191"
India,Dombivli,"1,193,000"
India,Rajkot,"1,177,362"
India,Varanasi,"1,164,404"
India,Amritsar,"1,092,450"
India,Allahabad,"1,073,438"
India,Visakhapatnam,"1,063,178"
India,Teni,"1,034,724"
India,Jabalpur,"1,030,168"
India,Haora,"1,027,672"
India,Aurangabad,"1,016,441"
India,Shivaji Nagar,"1,000,000"
India,Solapur,"997,281"
India,Srinagar,"975,857"
India,Chandigarh,"960,787"
India,Coimbatore,"959,823"
India,Jodhpur,"921,476"
India,Madurai,"909,908"
India,Guwahati,"899,094"
India,Gwalior,"882,458"
India,Vijayawada,"874,587"
India,Mysore,"868,313"
India,Ranchi,"846,454"
India,Hubli,"840,214"
India,Jalandhar,"785,178"
India,Thiruvananthapuram,"784,153"
India,Salem,"778,396"
India,Tiruchirappalli,"775,484"
India,Kota,"763,088"
India,Bhubaneshwar,"762,243"
India,Aligarh,"753,207"
India,Bareilly,"745,435"
India,Moradabad,"721,139"
India,Bhiwandi,"707,035"
India,Raipur,"679,995"
India,Gorakhpur,"674,246"
India,Bhilai,"625,138"
India,Jamshedpur,"616,338"
India,Borivli,"609,617"
India,Cochin,"604,696"
India,Amravati,"603,837"
India,Sangli,"601,214"
India,Cuttack,"580,000"
India,Bikaner,"576,015"
India,Warangal,"557,802"
India,Bhavnagar,"554,978"
India,Nanded,"550,564"
India,Raurkela,"536,450"
India,Guntur,"530,577"
India,Dehra Dun,"522,081"
India,Bhayandar,"520,301"
India,Durgapur,"518,872"
India,Ajmer,"517,911"
India,Ulhasnagar,"516,584"
India,Kolhapur,"516,142"
India,Shiliguri,"515,574"
India,Bilimora,"510,879"
India,Karol Bagh,"505,241"
India,Asansol,"504,271"
India,Jamnagar,"492,056"
India,Saharanpur,"484,873"
India,Gulbarga,"483,615"
India,Bhatpara,"483,129"
India,Jammu,"465,567"
India,Kurnool,"460,184"
India,Ujjain,"457,346"
India,Ramgundam,"452,261"
India,Shyamnagar,"441,956"
India,Nangi,"440,894"
India,Kozhikode,"439,922"
India,Malegaon,"435,362"
India,Davangere,"435,128"
India,Jalgaon,"429,298"
India,Akola,"428,857"
India,Belgaum,"428,720"
India,Gaya,"423,692"
India,Udaipur,"422,784"
India,Korba,"419,146"
India,Bokaro,"418,533"
India,Mangalore,"417,387"
India,Jhansi,"412,927"
India,Thoothukudi,"410,760"
India,Nellore,"404,158"
India,Tiruppur,"397,521"
India,Kollam,"394,163"
India,Panihati,"378,705"
India,Ahmadnagar,"367,140"
India,Dhulia,"366,980"
India,Bhagalpur,"361,548"
India,Punasa,"350,000"
India,Muzaffarnagar,"349,706"
India,Latur,"348,967"
India,Kukatpalli,"341,709"
India,Ambattur,"341,049"
India,Bellary,"336,681"
India,Muzaffarpur,"333,200"
India,Kamarhati,"332,965"
India,Mathura,"330,511"
India,Patiala,"329,224"
India,Chanda,"328,351"
India,Bhilwara,"326,431"
India,Trichur,"325,110"
India,Brahmapur,"324,726"
